sample,fastq_1,fastq_2
Ctrl_1,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N2608/N2608_MKRN240020397-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N2608/N2608_MKRN240020397-1A_22GVH2LT4_L5_2.fq.gz
Ctrl_2,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1123/N1123_MKRN240020391-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1123/N1123_MKRN240020391-1A_22GVH2LT4_L5_2.fq.gz
Ctrl_3,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1112/N1112_MKRN240020390-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1112/N1112_MKRN240020390-1A_22GVH2LT4_L5_2.fq.gz
Ctrl_4,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N194/N194_MKRN240020384-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N194/N194_MKRN240020384-1A_22GVH2LT4_L5_2.fq.gz
IBM_17,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N104/N104_MKRN240020382-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N104/N104_MKRN240020382-1A_22GVH2LT4_L5_2.fq.gz
IBM_16,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1406/N1406_MKRN240020392-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1406/N1406_MKRN240020392-1A_22GVH2LT4_L5_2.fq.gz
IBM_2,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1914/N1914_MKRN240020394-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1914/N1914_MKRN240020394-1A_22GVH2LT4_L5_2.fq.gz
IBM_5,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1915/N1915_MKRN240020395-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1915/N1915_MKRN240020395-1A_22GVH2LT4_L5_2.fq.gz
IBM_1,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N559/N559_MKRN240020387-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N559/N559_MKRN240020387-1A_22GVH2LT4_L5_2.fq.gz
IBM_7,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N542/N542_MKRN240020386-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N542/N542_MKRN240020386-1A_22GVH2LT4_L5_2.fq.gz
IBM_9,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N560/N560_MKRN240020388-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N560/N560_MKRN240020388-1A_22GVH2LT4_L5_2.fq.gz
IBM_4,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N144/N144_MKRN240020383-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N144/N144_MKRN240020383-1A_22GVH2LT4_L5_2.fq.gz
IBM_10,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N2321/N2321_MKRN240020396-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N2321/N2321_MKRN240020396-1A_22GVH2LT4_L5_2.fq.gz
IBM_8,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N759/N759_MKRN240020389-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N759/N759_MKRN240020389-1A_22GVH2LT4_L5_2.fq.gz
IBM_3,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1869/N1869_MKRN240020393-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N1869/N1869_MKRN240020393-1A_22GVH2LT4_L5_2.fq.gz
IBM_13,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N520/N520_MKRN240020385-1A_22GVH2LT4_L5_1.fq.gz,/SAN/vyplab/splicing_TDP43/muscle_nhnn/X204SC24090008-Z01-F001/01.RawData/N520/N520_MKRN240020385-1A_22GVH2LT4_L5_2.fq.gz